Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,01-Apr-18,319000,UK Telematics Limited,865.4,Revenue
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,01-Apr-18,319000,UK Telematics Limited,5202.39,Revenue
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,01-Apr-18,319000,UK Telematics Limited,727.35,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,1st Grade Care Limited,514.78,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,1st Grade Care Limited,593.18,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,1st Grade Care Limited,562.8,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,1st Grade Care Limited,600.6,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,1st Grade Care Limited,577.05,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,All Care (South Wales) Limited,636.44,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,All Care (South Wales) Limited,579.85,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,All Care (South Wales) Limited,737.34,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,All Care (South Wales) Limited,815.71,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,All Care (South Wales) Limited,536.22,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,All Care (South Wales) Limited,647.58,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,All Care (South Wales) Limited,636.44,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,All Care (South Wales) Limited,737.34,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,All Care (South Wales) Limited,815.71,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Annwyl Limited t/a Bluebird Care,633.05,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Annwyl Limited t/a Bluebird Care,707.37,Revenue
