Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Jul-2018,216181,Handicare Accessibility Limited,"1,657.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Jul-2018,101005,Gopak Limited,"1,902.96",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Jul-2018,101005,Legacy Leisure Limited,"1,917.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Jul-2018,101006,Rentokil Initial UK Limited,-717.27,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Jul-2018,101095,Blue Sky Digital Solutions Limited,710.47,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Jul-2018,101095,Findel Education Limited,"1,316.83",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Jul-2018,101095,Legacy Leisure Limited,"2,185.50",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Jul-2018,101095,Quality Office Supplies Limited t/a South Wales PaperTeam,503.90,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Jul-2018,101095,TTS Group Limited,"2,299.95",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Jul-2018,101095,The Consortium for Purchasing and Distribution Limited,542.31,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Jul-2018,101216,The Consortium for Purchasing and Distribution Limited,735.53,Revenue
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,02-Jul-2018,120057,EDF Energy Plc,914.37,Revenue
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,02-Jul-2018,130511,EDF Energy Plc,982.51,Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,02-Jul-2018,190052,RT Safety Limited,600.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Jul-2018,212731,EDF Energy Plc,"1,221.92",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Jul-2018,212731,EDF Energy Plc,"1,177.68",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Jul-2018,212741,EDF Energy Plc,870.23,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Jul-2018,212741,EDF Energy Plc,856.47,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Jul-2018,212791,EDF Energy Plc,"1,002.67",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Jul-2018,215803,EDF Energy Plc,799.10,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02-Jul-2018,300645,EDF Energy Plc,"54,318.27",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02-Jul-2018,300645,EDF Energy Plc,"44,411.44",Revenue
