Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101006,Siemens Financial Services Limited,562.83,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101055,Burner Efficiency Services Limited,952.45,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101055,The Assessment Foundation CIC,966,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101095,PEAC (UK) Limited,862.8,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101145,The Consortium for Purchasing and Distribution Limited,1145.29,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101171,Academics Limited,798.8,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101171,Academics Limited,798.8,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101171,Academics Limited,798.8,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101171,Academics Limited,673.1,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101171,Academics Limited,798.8,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101171,Academics Limited,639.04,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101202,The Assessment Foundation CIC,1470,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101241,The Assessment Foundation CIC,510,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101300,Dwr Cymru Cyf,669.99,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101300,The Assessment Foundation CIC,798,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101305,Grenke Leasing Limited,582.33,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101305,The Assessment Foundation CIC,798,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101305,Rhondda Cynon Taff County Borough Council,725,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101317,Dwr Cymru Cyf,1246.38,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101317,Glen Cleaning Company Limited,1010.35,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101317,Ricoh UK Limited,563.94,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-18,101317,Bay Resourcing Limited,556.5,Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,01-May-18,102636,Jonathan Harries T/A Harries Flooring,950,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,01-May-18,140122,Childcare Vouchers Limited,30408.5,Revenue
DIRECT LEARNING AND SKILLS,CATERING,01-May-18,150401,Brake Bros Limited,9432.25,Revenue
DIRECT LEARNING AND SKILLS,CATERING,01-May-18,150401,Castell Howell Foods Limited,8107.88,Revenue
DIRECT LEARNING AND SKILLS,CATERING,01-May-18,150671,Brake Bros Limited,3419.83,Revenue
DIRECT LEARNING AND SKILLS,CATERING,01-May-18,150671,Castell Howell Foods Limited,1773.05,Revenue
DIRECT LEARNING AND SKILLS,CATERING,01-May-18,150671,Chapple & Jenkins Limited,2517.03,Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,01-May-18,154401,Highfield International Limited,-514,Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,01-May-18,190011,BNP Paribas Lease Group (Rentals) Limited T/A Danwood Contract Rentals,513.02,Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,01-May-18,190056,Clybiau Plant Cymru Kids Club,7930,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,212731,EDF Energy Plc,1243.56,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,212731,EDF Energy Plc,1270.47,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,212731,EDF Energy Plc,1269.41,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,212731,EDF Energy Plc,1122.85,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,212731,EDF Energy Plc,1179.84,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215486,MHA Care Group t/a Ty Gwyn Private Nursing Home,1539.46,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,1st Grade Care Limited,532.7,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,1st Grade Care Limited,613.9,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,1st Grade Care Limited,582.4,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,1st Grade Care Limited,621.6,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,1st Grade Care Limited,597.15,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,All Care (South Wales) Limited,614.02,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,All Care (South Wales) Limited,721.43,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,All Care (South Wales) Limited,658.84,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Annwyl Limited t/a Bluebird Care,659.48,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Annwyl Limited t/a Bluebird Care,721.45,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Annwyl Limited t/a Bluebird Care,806.76,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Annwyl Limited t/a Bluebird Care,661.28,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Caring Companions Limited,750.68,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Caring Companions Limited,571.55,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Caring Companions Limited,544.18,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Caring Companions Limited,660.94,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Caring Companions Limited,599.2,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Hallows Care Limited T/A Hallows Care,690.95,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Hallows Care Limited T/A Hallows Care,597.76,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Hallows Care Limited T/A Hallows Care,635.32,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Hallows Care Limited T/A Hallows Care,606.25,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Heidi Christoforato t/a Churchfields Home Care,500.22,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Heidi Christoforato t/a Churchfields Home Care,500.22,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Parkrow Care Limited,600.48,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Parkrow Care Limited,600.48,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Grangelodge Residential Home Limited t/a Grangelodge,513.66,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Baltimore Care Limited,516.38,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Baltimore Care Limited,516.38,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Baltimore Care Limited,526.38,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,506.04,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,1148,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,645.84,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,701.81,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,516.38,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,538.41,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Duffryn Ffrwd Manor Limited,549.49,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,E & E Homes Limited T/A Cliffhaven Residential Home,503.08,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Forge Care Homes Limited t/a The Forge Care Centre,925,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Forge Care Homes Limited t/a The Forge Care Centre,671.32,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Harrison Care Enterprises Barry Limited t/a Island View,516.38,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Hebron Hall Limited,518,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,June Zehetmayr t/a Tower Hill Residential Home,538.12,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Lakeside Homes Limited T/A Lakeside House,518.82,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,516.38,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,517.8,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,502.23,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,500.86,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,533.5,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,MHA Care Group t/a Morel Court,531.09,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,7604.54,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,599.54,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,552.58,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Middlepatch Limited T/A College Fields Nursing Home,574.12,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Middlepatch Limited T/A College Fields Nursing Home,590.99,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Middlepatch Limited T/A College Fields Nursing Home,572.59,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Middlepatch Limited T/A College Fields Nursing Home,576.54,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Middlepatch Limited T/A College Fields Nursing Home,514.35,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Middlepatch Limited T/A College Fields Nursing Home,567.84,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Middlepatch Limited T/A College Fields Nursing Home,612.02,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Middlepatch Limited T/A College Fields Nursing Home,512.87,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Middlepatch Limited T/A College Fields Nursing Home,614.52,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Middlepatch Limited T/A College Fields Nursing Home,559.95,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Middlepatch Limited T/A College Fields Nursing Home,567.84,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Middlepatch Limited T/A College Fields Nursing Home,589.85,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Northcote Developments Limited,698.77,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Northcote Developments Limited,513.38,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Northcote Developments Limited,508.15,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Northcote Developments Limited,515.73,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Oakville Care Limited t/a Romilly Nursing Home,900,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,563.34,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,612.02,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,575.79,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,603.34,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,691.84,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,626.5,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,The Manor House St Hilary Limited T/A Milsom House,642.99,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,The Manor House St Hilary Limited T/A Milsom House,504.17,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,The Manor House St Hilary Limited T/A Milsom House,1559.94,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Waverley Care Centre Limited,500.74,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Waverley Care Centre Limited,585.1,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Waverley Care Centre Limited,533.61,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,215489,Waverley Care Centre Limited,596.49,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,216179,All Care (South Wales) Limited,728.81,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,216179,All Care (South Wales) Limited,553.13,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,216179,Annwyl Limited t/a Bluebird Care,795,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,216179,Hallows Care Limited T/A Hallows Care,597.79,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,216179,Heidi Christoforato t/a Churchfields Home Care,582.47,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,216179,Heidi Christoforato t/a Churchfields Home Care,630.73,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,216179,Accomplish Group Limited t/a Cedar House,1380.73,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,216179,Amethyst Healthcare Limited t/a Hillstone House,1770.23,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,216179,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,552.23,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,216179,Care 4 U (Neath) Limited,1754.28,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,216179,Crusader Medical Care Limited T/A St Saviours Nursing Home,551.35,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,216179,Leonard Cheshire Disability,970.38,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,216179,Middlepatch Limited T/A College Fields Nursing Home,618.34,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,216179,Pontcanna Care Limited T/A Ty Llandaff Care Home,795.32,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,216179,Springbank Care Home Limited T/A Springbank Nursing Home,572.38,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,216179,Valebrook Care Homes Limited,1851.35,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,216179,Voyage 1 Limited t/a Brook Lodge,2528.8,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,216179,Voyage 1 Limited t/a Falcons Rest & Poachers Cottage,1729.64,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217541,Innovate Trust Limited,268906.3,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,1st Grade Care Limited,676.7,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Consensus Support Services Limited t/a Ty Machen,2163.85,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Foxes Academy Limited,5444.47,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Foxes Academy Limited,5444.47,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,National Star Foundation T/A National Star College,20728.6,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,National Star Foundation T/A National Star College,18475.49,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Accomplish Group Limited,1821.48,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Accomplish Group Limited,2146.47,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Accomplish Group Limited t/a Cedar House,1582.7,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Amethyst Healthcare Limited t/a Hillstone House,1680.86,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Amethyst Healthcare Limited t/a Hillstone House,1462.13,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Consensus Support Services Limited t/a Ty Hendy,11748,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Glasallt Fawr Camphill Centre,995.72,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Glasallt Fawr Camphill Centre,1544.9,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Heatherleigh Care Limited t/a 106 Splott Road,1563.71,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Heatherleigh Care Limited t/a 106 Splott Road,1223.14,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Llysywaun Limited t/a Bayview Lodge Nursing Home,1724.9,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Ocean Community Services Limited t/a Westminster Court Care Home,1116.27,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,The Cedars Care Services Limited T/A Ashgrove Care Home,2112.35,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,The Cedars Care Services Limited T/A Ashgrove Care Home,995.35,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,The Cedars Care Services Limited T/A Oaklands,1030.35,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,The Cedars Care Services Limited t/a Sycamore House,2026.35,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,The Cedars Care Services Limited t/a Sycamore House,1809.35,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,The Cedars Care Services Limited t/a The Cedars,1576.06,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,The Cedars Care Services Limited t/a The Cedars,1365.05,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Vale Phoenix Limited,1079.73,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Vale Phoenix Limited,1116.94,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Valebrook Care Homes Limited,1654.39,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Valebrook Care Homes Limited,1999.5,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Valebrook Care Homes Limited,1420.24,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Valebrook Care Homes Limited,1767.35,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Valebrook Care Homes Limited,1861.95,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,217909,Valebrook Care Homes Limited,1390.24,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,218321,Adriana Limited T/A The Priory Nursing Home,536,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,218321,Hafod Care Association Limited,619.96,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,218321,Harrison Care Enterprises Barry Limited t/a Island View,520.91,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,218321,Isman & Kinze Nessa T/A Haven House,516.38,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-18,218321,J and P Residential Homes Limited T/A Monkstone House,600,Revenue
