Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,02-Jan-19,212731,HD Adcock (Nelson) Limited,709.4,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,02-Jan-19,212781,Castell Howell Foods Limited,963.8,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Jan-19,215489,E&G Senior Care Limited t/a Right at Home (Bridgend & Vale of Glamorgan),501.8,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Jan-19,215803,Tai Newydd Limited,"15,625.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Jan-19,217909,Everycare (Cardiff) Limited,822.12,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Jan-19,217909,Everycare (Cardiff) Limited,822.12,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Jan-19,217909,HF Trust Limited,"4,463.20",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Jan-19,217909,National Autistic Society,"40,721.66",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Jan-19,217909,National Autistic Society,"15,353.74",Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,02-Jan-19,239043,Jane Moore Associates Limited,"3,980.40",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02-Jan-19,260050,Hugh James Solicitors LLP,"3,775.00",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02-Jan-19,260050,Hugh James Solicitors LLP,"2,702.90",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02-Jan-19,260210,Securcare Limited,"1,748.77",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02-Jan-19,260250,NonStop Recruitment Limited,"1,332.00",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02-Jan-19,260250,NonStop Recruitment Limited,"1,332.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GARAGE,02-Jan-19,319010,Flogas Britain Limited,"1,225.42",Revenue
DIRECT ENVIRONMENT AND HOUSING,GARAGE,02-Jan-19,319010,M & M Commercials Limited,750.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GARAGE,02-Jan-19,319010,NTM - GB Limited,"1,912.78",Revenue
