Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,215489,All Saints DC Limited,662.28,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,215489,All Saints DC Limited,558.94,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,215489,All Saints DC Limited,669.86,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,215489,Parkrow Care Limited,596.22,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,215489,Parkrow Care Limited,600.48,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,215489,Willowmere Home Care Agency Limited,619.08,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,215489,Willowmere Home Care Agency Limited,663.26,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,215489,Willowmere Home Care Agency Limited,619.08,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,215489,Willowmere Home Care Agency Limited,540.75,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,215489,Willowmere Home Care Agency Limited,652.54,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,215489,Willowmere Home Care Agency Limited,816.14,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,215489,Willowmere Home Care Agency Limited,695.68,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,215489,Willowmere Home Care Agency Limited,994.90,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,215489,Willowmere Home Care Agency Limited,619.08,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,215489,Willowmere Home Care Agency Limited,667.86,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,215489,Willowmere Home Care Agency Limited,695.68,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,215489,Willowmere Home Care Agency Limited,652.54,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,218419,Parkrow Care Limited,625.72,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,218419,Willowmere Home Care Agency Limited,715.36,Revenue
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01-Apr-2019,100121,FFT Education Limited,"9,890.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Apr-2019,101134,EDF Energy Plc,"1,256.42",Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,01-Apr-2019,154401,ABM Catering for Leisure Limited,550.00,Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,01-Apr-2019,154401,Harfield Components Limited,-845.00,Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,01-Apr-2019,154401,Harfield Components Limited,"1,115.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,213911,Meltemi Company Clothing Limited,730.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,215121,Tunstall Healthcare (UK) Limited,980.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,215489,Cardiff Homecare Limited,640.08,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Apr-2019,217821,Dwr Cymru Cyf,871.93,Revenue
DIRECT ENVIRONMENT AND HOUSING,OVERHEAD,01-Apr-2019,301062,G.P.H.I.T (Integrated Services) Limited,540.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01-Apr-2019,323680,AMX Solutions Limited,"3,332.39",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01-Apr-2019,325343,Calibre Contracting Limited,"1,128.63",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01-Apr-2019,325354,Cemex UK Materials Limited,685.30,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01-Apr-2019,325501,Calibre Contracting Limited,820.08,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01-Apr-2019,333218,ARC Electrical Engineering Solutions Limited,945.66,Revenue
NEW REGENERATION,REGENERATION & PLANNING,01-Apr-2019,350740,Infographics Limited,"1,999.00",Revenue
NEW REGENERATION,REGENERATION & PLANNING,01-Apr-2019,356020,VOG Fire & Security Limited,800.00,Revenue
NEW REGENERATION,REGENERATION & PLANNING,01-Apr-2019,365761,Edge Analytics Limited,"1,237.50",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,01-Apr-2019,400050,E4Law Limited t/a Lextox,"1,271.00",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,01-Apr-2019,400050,Lingotech Limited,"1,963.37",Revenue
