Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type
DIRECT SOCIAL SERVICES,DIRECT SOCIAL SERVICES,01-Aug-2018,215489,All Saints DC Limited,694.10,Revenue
DIRECT SOCIAL SERVICES,DIRECT SOCIAL SERVICES,01-Aug-2018,215489,All Saints DC Limited,662.28,Revenue
DIRECT SOCIAL SERVICES,DIRECT SOCIAL SERVICES,01-Aug-2018,215489,All Saints DC Limited,627.96,Revenue
DIRECT SOCIAL SERVICES,DIRECT SOCIAL SERVICES,01-Aug-2018,215489,All Saints DC Limited,588.94,Revenue
DIRECT SOCIAL SERVICES,DIRECT SOCIAL SERVICES,01-Aug-2018,215489,All Saints DC Limited,669.86,Revenue
DIRECT SOCIAL SERVICES,DIRECT SOCIAL SERVICES,01-Aug-2018,215489,All Saints DC Limited,694.10,Revenue
DIRECT SOCIAL SERVICES,DIRECT SOCIAL SERVICES,01-Aug-2018,215489,All Saints DC Limited,662.28,Revenue
DIRECT SOCIAL SERVICES,DIRECT SOCIAL SERVICES,01-Aug-2018,215489,All Saints DC Limited,627.96,Revenue
DIRECT SOCIAL SERVICES,DIRECT SOCIAL SERVICES,01-Aug-2018,215489,All Saints DC Limited,588.94,Revenue
DIRECT SOCIAL SERVICES,DIRECT SOCIAL SERVICES,01-Aug-2018,215489,All Saints DC Limited,669.86,Revenue
DIRECT SOCIAL SERVICES,DIRECT SOCIAL SERVICES,01-Aug-2018,215489,Caring Companions Limited,750.68,Revenue
DIRECT SOCIAL SERVICES,DIRECT SOCIAL SERVICES,01-Aug-2018,215489,Caring Companions Limited,571.55,Revenue
DIRECT SOCIAL SERVICES,DIRECT SOCIAL SERVICES,01-Aug-2018,215489,Caring Companions Limited,544.18,Revenue
DIRECT SOCIAL SERVICES,DIRECT SOCIAL SERVICES,01-Aug-2018,215489,Caring Companions Limited,660.94,Revenue
DIRECT SOCIAL SERVICES,DIRECT SOCIAL SERVICES,01-Aug-2018,215489,Caring Companions Limited,523.60,Revenue
DIRECT SOCIAL SERVICES,DIRECT SOCIAL SERVICES,01-Aug-2018,215489,Caring Companions Limited,599.20,Revenue
