"DIRECTORATE
",SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2022,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,501.50,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2022,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,519.61,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2022,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,875.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2022,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,915.12,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2022,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,975.06,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2022,216179,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,540.85,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2022,216179,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,545.60,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2022,218419,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,834.40,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/12/2022,101030,A & R Contract Cleaning Specialist Limited,"2,178.17",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/12/2022,101075,M W Contracting Carpentry Services Limited,"1,200.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/12/2022,101202,Impact School Improvement Limited,540.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/12/2022,101202,I Teach (Wales) Limited,564.00,REVENUE
