Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,All Care (South Wales) Limited,513.66,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,All Care (South Wales) Limited,640.78,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,All Care (South Wales) Limited,618.94,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,All Care (South Wales) Limited,658.84,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,All Saints DC Limited,662.28,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,All Saints DC Limited,627.96,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,All Saints DC Limited,558.94,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,All Saints DC Limited,669.86,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Annwyl Limited t/a Bluebird Care,655.25,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Annwyl Limited t/a Bluebird Care,732.21,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Annwyl Limited t/a Bluebird Care,608.80,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Annwyl Limited t/a Bluebird Care,655.25,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Annwyl Limited t/a Bluebird Care,732.21,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Annwyl Limited t/a Bluebird Care,599.09,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,668.50,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,735.56,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,903.52,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,693.14,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,742.62,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,500.38,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,770.92,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,565.50,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Caring Companions Limited,750.68,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Caring Companions Limited,571.55,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Caring Companions Limited,544.18,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Caring Companions Limited,544.18,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Caring Companions Limited,507.61,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Caring Companions Limited,599.20,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Cherish Cymru Limited,"1,688.02",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Cherish Cymru Limited,562.24,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Cherish Cymru Limited,617.90,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Cherish Cymru Limited,603.59,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,Cherish Cymru Limited,637.01,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,GJ Care & Training Limited,559.02,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,GJ Care & Training Limited,656.47,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,GJ Care & Training Limited,623.25,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,215489,GJ Care & Training Limited,618.26,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,216179,All Care (South Wales) Limited,"1,460.11",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,216179,All Care (South Wales) Limited,612.13,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,217909,GJ Care & Training Limited,699.54,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,218321,GJ Care & Training Limited,571.20,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,218419,Annwyl Limited t/a Bluebird Care,625.01,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,218419,Annwyl Limited t/a Bluebird Care,666.68,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,218419,Annwyl Limited t/a Bluebird Care,625.01,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Feb-2019,218419,Annwyl Limited t/a Bluebird Care,666.68,Revenue
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01-Feb-2019,100121,Capita Business Services Limited,"1,150.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Feb-2019,101013,Solutions in Technology Limited,"3,000.00",Revenue
