Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type,Minority Group
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,01-Jun-18,102801,CJ Contract Travel Services Limited,826.2,Revenue,Companies
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01-Jun-18,120080,Askews & Holts Library Services Limited,568.04,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,01-Jun-18,130271,Wheadon Group Travel Limited,550,Revenue,Companies
DIRECT LEARNING AND SKILLS,GF CATERING,01-Jun-18,154401,ABM Catering for Leisure Limited,4082.9,Revenue,Companies
DIRECT LEARNING AND SKILLS,GF CATERING,01-Jun-18,154401,ABM Catering for Leisure Limited,1028,Revenue,Companies
DIRECT LEARNING AND SKILLS,GF CATERING,01-Jun-18,154401,ABM Catering for Leisure Limited,700,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01-Jun-18,300600,Eliesha Training Limited,746.2,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,01-Jun-18,303900,Vellacine Limited,675,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,01-Jun-18,303931,G.P.H.I.T (Integrated Services) Limited,1260,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,01-Jun-18,303931,Hi Tech Industrial Roofing Limited,785,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,01-Jun-18,303950,MSS Consulting Limited,536.27,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,01-Jun-18,303950,MSS Consulting Limited,981.55,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,01-Jun-18,303950,MSS Consulting Limited,2715,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,01-Jun-18,303950,MSS Consulting Limited,1546,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,01-Jun-18,305720,G.P.H.I.T (Integrated Services) Limited,8890,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01-Jun-18,333013,Ace Site Services (UK) Limited,909,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01-Jun-18,341182,FCC Recycling (UK) Limited,101343.91,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01-Jun-18,341220,G.A.E. Smith (Holdings) Limited t/a Casepak,11150.25,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,01-Jun-18,354727,Secure-a-Field Limited,12155,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01-Jun-18,359330,Newydd Housing Association (1974) Limited,800,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,01-Jun-18,365763,Glamorgan Gem Limited,990,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01-Jun-18,365803,CJ Contract Travel Services Limited,25695.18,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01-Jun-18,365803,CJ Contract Travel Services Limited,12910.86,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01-Jun-18,365803,K-Tax Limited,4806,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,HOUSING,01-Jun-18,407111,Civica UK Limited,11476.13,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,HOUSING,01-Jun-18,407114,Masons Moving Group Limited,920,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,HOUSING,01-Jun-18,407118,Geraint John Planning Limited,1250,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,HOUSING,01-Jun-18,407400,Glamorgan Gem Limited,500,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01-Jun-18,421230,Pervasive Networks Limited,30785.06,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,01-Jun-18,440530,Sabio Limited,1815,Revenue,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,01-Jun-18,842127,SMK Building & Maintenance Limited,88666.49,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,01-Jun-18,842145,SMK Building & Maintenance Limited,244565.99,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,01-Jun-18,842177,Ian Williams Limited,338066.51,Capital,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01-Jun-18,103134,Glenda Jones,800,Revenue,Professional Services
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01-Jun-18,100130,Disclosure and Barring Service,973,Revenue,Public Bodies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01-Jun-18,260020,Disclosure and Barring Service,1584,Revenue,Public Bodies
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01-Jun-18,103030,Millennium Personnel Services (Education) Limited,625,Revenue,recy
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,01-Jun-18,140131,Randstad Solutions Limited,113094.58,Revenue,recy
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Jun-18,215489,Susan Heffernan T/A Baruc Guest House,980,Revenue,Sole Traders
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Jun-18,217909,Susan Heffernan T/A Baruc Guest House,656.2,Revenue,Sole Traders
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01-Jun-18,260160,Jenny Haylock T/A Mobile Play Therapy,640,Revenue,Sole Traders
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01-Jun-18,260160,Jenny Haylock T/A Mobile Play Therapy,960,Revenue,Sole Traders
DIRECT CAPITAL POLICY,CAPITAL POLICY,01-Jun-18,852513,Mark Parry t/a N.A.C. Property Clearance,720,Capital,Sole Traders
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,1st Grade Care Limited,532.7,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,1st Grade Care Limited,613.9,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,1st Grade Care Limited,582.4,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,1st Grade Care Limited,621.6,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,1st Grade Care Limited,597.15,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,1st Grade Care Limited,532.7,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,1st Grade Care Limited,532.7,Revenue,agen
