DIRECTORATE,SUB DIRECTORTE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,ACCOUNT TYPE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2020,101006,Dwr Cymru Cyf,932.84,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2020,101031,Ecommercial Cleaning Services Limited,"1,800.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2020,101094,A & R Contract Cleaning Specialist Limited,-784.24,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2020,101094,PHS Group Plc,503.46,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2020,101094,A & R Contract Cleaning Specialist Limited,"2,141.98",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2020,101300,The Learning Partnership (Wales) Limited,695.00,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,01/06/2020,140122,Childcare Vouchers Limited,"12,319.70",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2020,215121,Tunstall Healthcare (UK) Limited,"2,560.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2020,216731,CJ Contract Travel Services Limited,"1,410.75",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01/06/2020,333013,Ace Site Services (UK) Limited,980.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01/06/2020,333013,The Firewood Company (UK) Limited T/A Esa Tree Care,"2,055.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01/06/2020,333102,Total Ground Care Limited,"1,500.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01/06/2020,333102,Total Ground Care Limited,"9,494.90",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01/06/2020,333154,The Firewood Company (UK) Limited T/A Esa Tree Care,"1,680.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01/06/2020,333560,Ace Site Services (UK) Limited,730.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/06/2020,341225,CWS Engineering Limited,585.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,01/06/2020,354731,NHBS Limited,"-4,695.14",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,01/06/2020,400063,British Telecommunications Plc,"15,968.30",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,01/06/2020,402451,BT PLC Openreach Repayment Works,583.57,Revenue
