Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Mar-2019,215489,Care In Wales Limited T/A Care in the Vale,730.93,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Mar-2019,215489,Care In Wales Limited T/A Care in the Vale,725.68,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Mar-2019,215489,Care In Wales Limited T/A Care in the Vale,724.65,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Mar-2019,215489,Care In Wales Limited T/A Care in the Vale,721.01,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Mar-2019,215489,Care In Wales Limited T/A Care in the Vale,779.82,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Mar-2019,215489,Care In Wales Limited T/A Care in the Vale,620.83,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Mar-2019,215489,Care In Wales Limited T/A Care in the Vale,637.71,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Mar-2019,215489,Care In Wales Limited T/A Care in the Vale,538.31,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Mar-2019,215489,Care In Wales Limited T/A Care in the Vale,666.69,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Mar-2019,215489,Care In Wales Limited T/A Care in the Vale,521.87,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Mar-2019,215489,Care In Wales Limited T/A Care in the Vale,649.81,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Mar-2019,215489,Care In Wales Limited T/A Care in the Vale,781.05,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Mar-2019,215489,Care In Wales Limited T/A Care in the Vale,921.90,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Mar-2019,218419,Care In Wales Limited T/A Care in the Vale,673.56,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Mar-2019,218419,Care In Wales Limited T/A Care in the Vale,725.68,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Mar-2019,218419,Care In Wales Limited T/A Care in the Vale,677.98,Revenue
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01-Mar-2019,120052,Computacenter (UK) Limited,"7,198.24",Revenue
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01-Mar-2019,120080,Askews & Holts Library Services Limited,633.73,Revenue
NEW REGENERATION,REGENERATION & PLANNING,01-Mar-2019,130511,KS Barry (Plumbing & Heating) Limited,"1,518.00",Revenue
