Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-2019,215489,Annwyl Limited t/a Bluebird Care,627.50,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-2019,215489,Annwyl Limited t/a Bluebird Care,627.50,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-2019,215489,Annwyl Limited t/a Bluebird Care,686.33,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-2019,215489,Annwyl Limited t/a Bluebird Care,686.33,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-2019,215489,Annwyl Limited t/a Bluebird Care,766.94,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-2019,215489,Annwyl Limited t/a Bluebird Care,766.94,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-2019,101025,Educational Pursuits Instruction Centres Limited t/a Llangorse Multi Activity Centre,"1,200.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-2019,101095,ParentPay Limited,513.20,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-2019,101095,PEAC (UK) Limited,862.80,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-2019,101095,Blue Sky Digital Solutions Limited,994.71,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-May-2019,101095,Sovereign Design Play Systems Limited,"1,357.29",Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,01-May-2019,102652,Kings Monkton Independent School Limited,"3,863.00",Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,01-May-2019,102652,Kings Monkton Independent School Limited,"3,863.00",Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,01-May-2019,102652,Kings Monkton Independent School Limited,"5,215.40",Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,01-May-2019,102652,Kings Monkton Independent School Limited,"6,506.80",Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,01-May-2019,102652,Kings Monkton Independent School Limited,"10,002.70",Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,01-May-2019,102652,Kings Monkton Independent School Limited,"10,093.00",Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,01-May-2019,102652,St Davids College Trust,"12,080.00",Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,01-May-2019,130280,Portal Training Limited t/a Portal Educational Training Providers,"1,068.25",Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,01-May-2019,150401,WR Bishop (Tonyrefail) Limited,"2,670.74",Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,01-May-2019,150401,Brake Bros Limited,"13,503.74",Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,01-May-2019,150401,Castell Howell Foods Limited,"15,085.82",Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,01-May-2019,150671,WR Bishop (Tonyrefail) Limited,543.23,Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,01-May-2019,150671,The Real Wrap Co. Limited,"1,024.83",Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,01-May-2019,150671,Peter's Food Service Limited,"1,970.92",Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,01-May-2019,150671,Chapple & Jenkins Limited,"2,258.43",Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,01-May-2019,150671,Castell Howell Foods Limited,"4,811.40",Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,01-May-2019,150671,Brake Bros Limited,"5,783.67",Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,01-May-2019,212731,SWLR Limited,531.80,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,01-May-2019,212731,Castell Howell Foods Limited,684.51,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-May-2019,215803,Tai Newydd Limited,"15,625.00",Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,01-May-2019,239281,Lyreco UK Limited,882.71,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,01-May-2019,239281,Complete Business Solutions Group Limited,936.00,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01-May-2019,260210,NonStop Recruitment Limited,792.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,HOUSING - HRA,01-May-2019,303905,J & D Water Consultants Limited,"4,800.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01-May-2019,325347,Garth Plant Hire Limited,885.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01-May-2019,325347,Calibre Contracting Limited,"1,538.67",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01-May-2019,325351,Calibre Contracting Limited,820.08,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01-May-2019,325351,Horizon Civil Engineering Limited,"2,191.79",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01-May-2019,325501,Calibre Contracting Limited,"1,128.63",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01-May-2019,325644,Centregreat Limited,"35,164.01",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01-May-2019,325644,Centregreat Limited,"60,326.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01-May-2019,325790,Calibre Contracting Limited,"1,257.58",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01-May-2019,325790,Calibre Contracting Limited,"1,318.10",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01-May-2019,325892,Centregreat Limited,"1,621.95",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01-May-2019,333013,Ace Site Services (UK) Limited,760.00,Revenue
