Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Nov-2018,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,595.97,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Nov-2018,216179,Heidi Christoforato t/a Churchfields Home Care,561.06,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Nov-2018,101025,ACT Outdoors Limited,"-2,062.50",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Nov-2018,215489,Cardiff Homecare Limited,708.18,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Nov-2018,215489,Cardiff Homecare Limited,508.90,,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01-Nov-2018,260050,Attachment Works Limited,"1,476.77",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01-Nov-2018,260050,E4Law Limited t/a Lextox,962.00,,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01-Nov-2018,260060,BetterCare Keys Limited,"10,313.10",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01-Nov-2018,260060,BetterCare Keys Limited,"10,313.19",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01-Nov-2018,260060,Independent Foster Care Services Limited,"3,618.01",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01-Nov-2018,260060,Independent Foster Care Services Limited,"3,351.10",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01-Nov-2018,260060,Independent Foster Care Services Limited,"3,162.00",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01-Nov-2018,260060,Independent Foster Care Services Limited,"3,166.34",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01-Nov-2018,260060,Independent Foster Care Services Limited,"3,527.49",,
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,01-Nov-2018,351713,GVA Grimley Limited,"3,225.00",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,01-Nov-2018,365787,New Adventure Travel Limited,"19,809.00",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,01-Nov-2018,365791,Easyway Minicoach Hire Limited,"10,341.00",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,01-Nov-2018,365791,New Adventure Travel Limited,"22,936.50",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,01-Nov-2018,365791,New Adventure Travel Limited,"12,059.00",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,01-Nov-2018,365796,New Adventure Travel Limited,"47,461.00",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE POLICY MAKING,01-Nov-2018,460500,The Green Envelope Company Limited,772.25,,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF MISCELLANEOUS POLICY,01-Nov-2018,479050,Marsh Limited,"5,000.00",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01-Nov-2018,421230,Merthyr Tydfil County Borough Council,"2,600.00",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,01-Nov-2018,405100,Salvatore Cannatella,600.00,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Nov-2018,218302,Cardiff & Vale University Local Health Board,"25,329.66",,
