Directorate,Sub Directorate,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,Type
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2019,215489,Annwyl Limited t/a Bluebird Care,513.05,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2019,215489,GJ Care & Training Limited,559.72,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2019,215489,GJ Care & Training Limited,585.70,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2019,215489,Annwyl Limited t/a Bluebird Care,585.76,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2019,215489,GJ Care & Training Limited,607.92,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2019,215489,Parkrow Care Limited,624.64,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2019,215489,Annwyl Limited t/a Bluebird Care,627.50,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2019,215489,Parkrow Care Limited,629.06,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2019,215489,All Care (South Wales) Limited,643.14,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2019,215489,Annwyl Limited t/a Bluebird Care,643.44,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2019,215489,All Care (South Wales) Limited,648.34,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2019,215489,All Care (South Wales) Limited,671.16,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2019,215489,GJ Care & Training Limited,687.69,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2019,215489,Annwyl Limited t/a Bluebird Care,766.94,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2019,215489,Annwyl Limited t/a Bluebird Care,783.30,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2019,216179,All Care (South Wales) Limited,594.83,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2019,216179,All Care (South Wales) Limited,717.51,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2019,216179,All Care (South Wales) Limited,919.35,Revenue
