DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215488,Annwyl Limited t/a Bluebird Care,"10,088.00",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,501.14,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215489,All Saints DC Limited,507.08,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215489,All Care (South Wales) Limited,528.36,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215489,All Saints DC Limited,668.50,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215489,All Saints DC Limited,668.50,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215489,All Care (South Wales) Limited,708.98,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,732.18,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215489,Care In Wales Limited T/A Care in the Vale,736.96,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215489,All Care (South Wales) Limited,738.72,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215489,All Care (South Wales) Limited,739.90,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215489,All Saints DC Limited,740.88,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215489,All Saints DC Limited,748.23,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215489,Care In Wales Limited T/A Care in the Vale,771.02,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215489,Care In Wales Limited T/A Care in the Vale,779.54,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215489,Care In Wales Limited T/A Care in the Vale,784.90,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,787.78,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215489,All Saints DC Limited,790.80,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215489,All Saints DC Limited,791.33,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,806.14,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,824.89,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/12/2021,215489,All Saints DC Limited,826.90,REVENUE
